id_starname,gammapav
teff,6168
teff_err,133
logg,4.4
logg_err,0.01
feh,-0.66
feh_err,0.09
lum,-99
lum_err,0
gmag,-99
gmag_err,0
rmag,-99
rmag_err,0
imag,-99
imag_err,0
zmag,-99
zmag_err,0
jmag,-99
jmag_err,0
hmag,-99
hmag_err,0
kmag,-99
kmag_err,0
gamag,-99
gamag_err,0
bpmag,-99
bpmag_err,0
rpmag,-99
rpmag_err,0
parallax,0.10801
parallax_err,0.000106
bmag,-99
bmag_err,0
vmag,-99
vmag_err,0
btmag,-99
btmag_err,0
vtmag,4.276
vtmag_err,0.009000000000000001
numax,-99
numax_err,0
dnu,-99
dnu_err,0
dmag,-99.0
dmag_err,-99.0
ra,321.61
dec,-65.37
band,vtmag
dir_dis,9.25840458404584
dir_dis_err1,0.008996409964099783
dir_dis_err2,-0.009004090040900081
dir_avs,0.0
dir_avs_err1,0.0
dir_avs_err2,-0.0
dir_rad,1.05995409399332
dir_rad_err1,0.04908752001252048
dir_rad_err2,-0.04630979523598544
dir_lum,1.460381692264693
dir_lum_err1,0.04062865101353008
dir_lum_err2,-0.039178328795453465
dir_teff,6168
dir_teff_err1,133
dir_teff_err2,-133
dir_mabs,4.443339636923827
dir_mabs_err1,0.029525383112913417
dir_mabs_err2,-0.029793262608763804
dir_mass,0.0
dir_mass_err1,0.0
dir_mass_err2,-0.0
dir_rho,0.0
dir_rho_err1,0.0
dir_rho_err2,-0.0
dir_fbol,5.450754925810345e-07
dir_fbol_err1,1.5097059864067728e-08
dir_fbol_err2,-1.4583534433362302e-08
