id_starname,zetatuc
teff,5924
teff_err,129
logg,4.38
logg_err,0.01
feh,-0.21
feh_err,0.09
lum,-99
lum_err,0
gmag,-99
gmag_err,0
rmag,-99
rmag_err,0
imag,-99
imag_err,0
zmag,-99
zmag_err,0
jmag,-99
jmag_err,0
hmag,-99
hmag_err,0
kmag,-99
kmag_err,0
gamag,-99
gamag_err,0
bpmag,-99
bpmag_err,0
rpmag,-99
rpmag_err,0
parallax,0.11617999999999999
parallax_err,0.000133
bmag,-99
bmag_err,0
vmag,-99
vmag_err,0
btmag,-99
btmag_err,0
vtmag,4.2860000000000005
vtmag_err,0.009000000000000001
numax,-99
numax_err,0
dnu,-99
dnu_err,0
dmag,-99.0
dmag_err,-99.0
ra,5.02
dec,-64.87
band,vtmag
dir_dis,8.607342073420734
dir_dis_err1,0.00975909759097604
dir_dis_err2,-0.009763097630976603
dir_avs,0.0
dir_avs_err1,0.0
dir_avs_err2,-0.0
dir_rad,1.05515378992719
dir_rad_err1,0.049286664498334076
dir_rad_err2,-0.046522733519910764
dir_lum,1.2313557122300143
dir_lum_err1,0.03432754631955626
dir_lum_err2,-0.033039228575455715
dir_teff,5924
dir_teff_err1,129
dir_teff_err2,-129
dir_mabs,4.611685620754881
dir_mabs_err1,0.029529990088363434
dir_mabs_err2,-0.02985376557444397
dir_mass,0.0
dir_mass_err1,0.0
dir_mass_err2,-0.0
dir_rho,0.0
dir_rho_err1,0.0
dir_rho_err2,-0.0
dir_fbol,5.317557552178402e-07
dir_fbol_err1,1.4728140558242096e-08
dir_fbol_err2,-1.4227163891806654e-08
