#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type
science,TESS,SPOC,Photometer,TESS,TESS,Optical,942082177,,tess2021065132309-s0036-0000000942082177-0207-a_fast,167.549085920874,-39.9763327798867,3,59280.406226088,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,941210500,,tess2021065132309-s0036-0000000941210500-0207-a_fast,167.47881500222,-46.3924209154918,3,59280.4057415741,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,902511649,,tess2021065132309-s0036-0000000902511649-0207-a_fast,173.086975783828,-8.35618815072133,3,59280.4077326273,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,902175596,,tess2021065132309-s0036-0000000902175596-0207-a_fast,169.243488416579,-16.6316935349432,3,59280.407500463,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,901406326,,tess2021065132309-s0036-0000000901406326-0207-a_fast,179.365317546162,-28.0637895408637,3,59280.4068624884,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,901208219,,tess2021065132309-s0036-0000000901208219-0207-a_fast,175.890683661,-30.2202306967005,3,59280.4067939583,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,870856230,,tess2021065132309-s0036-0000000870856230-0207-a_fast,147.636045449324,-40.9075377416578,3,59280.4058962269,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,870310469,,tess2021065132309-s0036-0000000870310469-0207-a_fast,155.206932014668,-42.5570306010797,3,59280.4059373958,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,815911189,,tess2021065132309-s0036-0000000815911189-0207-a_fast,135.844895683979,-45.0699789994644,3,59280.4052243866,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,804791406,,tess2021065132309-s0036-0000000804791406-0207-a_fast,120.68246763393,-74.8190445835303,3,59280.4026675347,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,766204378,,tess2021065132309-s0036-0000000766204378-0207-a_fast,108.217463652251,-60.2813560196479,3,59280.4031421644,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,765684649,,tess2021065132309-s0036-0000000765684649-0207-a_fast,111.37310775902,-62.8817199928297,3,59280.4031360069,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,765549141,,tess2021065132309-s0036-0000000765549141-0207-a_fast,111.961344321748,-64.358854614179,3,59280.4030772685,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,765434315,,tess2021065132309-s0036-0000000765434315-0207-a_fast,105.292448230889,-63.2007744834578,3,59280.4028822569,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,765351071,,tess2021065132309-s0036-0000000765351071-0207-a_fast,105.070687161742,-65.1462802258758,3,59280.4027844329,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,765124719,,tess2021065132309-s0036-0000000765124719-0207-a_fast,114.885382503128,-66.4439442315198,3,59280.4030567477,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,764653535,,tess2021065132309-s0036-0000000764653535-0207-a_fast,115.93156440714,-74.2560455407201,3,59280.4026079977,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,737396657,,tess2021065132309-s0036-0000000737396657-0207-a_fast,99.9100091882093,-58.6854639361215,3,59280.4028321643,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,737123430,,tess2021065132309-s0036-0000000737123430-0207-a_fast,93.8404504557473,-64.4418040030462,3,59280.4023659259,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,735179973,,tess2021065132309-s0036-0000000735179973-0207-a_fast,97.1166213927306,-77.8120482275574,3,59280.4020377315,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,734535817,,tess2021065132309-s0036-0000000734535817-0207-a_fast,84.3048360515441,-55.1607166747106,3,59280.4020988773,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,734469567,,tess2021065132309-s0036-0000000734469567-0207-a_fast,80.9150110194856,-60.4213135507086,3,59280.4018534722,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,732233859,,tess2021065132309-s0036-0000000732233859-0207-a_fast,85.2323263966192,-65.3673522945384,3,59280.4019868981,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,728699610,,tess2021065132309-s0036-0000000728699610-0207-a_fast,81.7478803581239,-70.4378073524462,3,59280.401790463,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,724776782,,tess2021065132309-s0036-0000000724776782-0207-a_fast,85.279478198892,-72.9377583883658,3,59280.4995558912,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,724466209,,tess2021065132309-s0036-0000000724466209-0207-a_fast,88.3658961379562,-73.9627747316334,3,59280.4996247106,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,684974870,,tess2021065132309-s0036-0000000684974870-0207-a_fast,69.8522652805604,-59.5908907740107,3,59280.4013006597,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,684761824,,tess2021065132309-s0036-0000000684761824-0207-a_fast,74.7180336689681,-63.8593408743717,3,59280.401547037,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,684404985,,tess2021065132309-s0036-0000000684404985-0207-a_fast,78.70799359465,-65.0208332736568,3,59280.401716794,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,650243086,,tess2021065132309-s0036-0000000650243086-0207-a_fast,49.8733839919686,-72.9039947603032,3,59280.4008575347,20,59327,
