ticids,tmags,teff,rad,sec,slow_2min,slow_1hr,fast_2min,fast_1hr
593228,9.222,3356,0.466,32,2206.591,1436.186,1942.224,1089.134
593230,8.275,3806,0.573,32,900.862,579.810,798.670,454.155
608932,8.298,4945,8.908,32,547.363,262.269,489.149,258.871
614556,8.040,6000,1.633,32,377.086,67.473,362.725,79.193
626529,16.471,0,0.000,32,118416.905,20104.088,119064.279,19677.257
672624,8.117,6343,1.634,32,3914.569,4139.234,3971.587,4190.264
737327,9.149,5872,1.349,32,1877.178,1950.990,1907.237,1983.157
767943,8.068,4402,23.307,32,465.127,234.956,429.754,235.013
770004,8.029,7257,4.259,32,413.882,73.723,359.784,62.967
816939,8.037,6477,1.196,34,408.090,79.919,473.610,87.227
820148,8.094,4762,14.344,34,561.381,421.303,599.042,418.962
829147,8.218,5016,10.423,34,462.548,201.124,453.759,205.496
972858,8.785,4720,10.771,34,658.180,329.915,756.053,342.919
975989,12.615,3376,0.503,36,5503.382,1513.407,5537.583,1658.132
990995,8.657,6444,1.296,36,537.835,138.105,612.142,138.451
1007010,13.456,3161,0.400,36,10396.272,3225.436,10328.394,3201.814
1039707,8.013,4857,10.491,34,524.483,353.278,512.305,346.283
1107885,15.125,0,0.000,34,46895.072,8501.666,46735.182,8649.739
1119071,8.076,4814,9.287,31,503.767,295.649,522.147,287.910
1122511,8.099,5316,2.690,31,457.989,167.633,513.220,175.874
1129033,9.627,5605,0.934,31,4022.453,3606.070,4043.632,3605.997
1141092,8.385,4998,20.220,34,538.628,254.242,577.259,256.515
1232360,10.823,3448,0.609,35,2339.466,1176.371,2330.815,1179.301
1235623,8.066,4328,22.591,32,455.570,261.631,439.296,257.717
1258935,9.963,5739,0.968,35,1032.059,398.178,1076.550,255.731
1258971,8.309,3745,54.257,35,495.453,202.877,549.887,160.758
1273249,10.070,3962,0.900,32,2367.490,1594.249,2385.695,1591.605
1340650,8.181,4001,31.691,35,486.009,252.194,491.438,203.765
1396359,8.139,4675,17.525,32,505.776,309.397,479.932,309.988
1407086,13.574,3158,0.311,34,12450.501,3178.860,12470.729,3597.662
1438316,8.022,5080,9.823,32,514.844,341.473,486.748,333.983
1440684,8.110,4920,10.876,32,539.405,345.091,515.721,344.714
1472576,16.311,0,0.000,35,112841.561,20382.313,113452.718,20597.354
1517807,10.026,7984,3.249,32,5782.023,2125.741,5770.606,2134.541
1528696,13.169,4669,0.783,32,7886.649,1884.675,7931.633,2049.321
1539914,14.076,0,0.000,36,30756.215,6048.846,30527.931,6072.605
1588469,8.108,4740,8.033,36,579.346,328.333,599.871,332.524
1595409,8.167,4094,28.256,36,497.915,192.315,558.791,210.555
1605355,8.155,4544,19.808,34,513.848,294.708,546.736,298.052
1677334,9.344,4294,25.066,34,802.449,281.628,886.819,269.016
1712781,5.985,10624,2.214,35,588.025,597.416,574.837,589.947
1732081,8.031,5018,6.961,35,444.632,166.472,489.136,167.577
2088340,8.040,4240,31.151,35,476.384,193.213,539.648,195.326
2089490,8.742,6299,1.875,35,570.969,121.515,712.680,156.049
2137185,13.880,3227,0.219,35,14862.354,3729.860,14929.018,3833.007
2670610,11.544,5640,1.156,27,2819.053,554.770,2877.061,598.392
2760232,11.126,0,0.000,29,3493.371,2587.340,3623.200,2601.110
2760710,13.841,3176,0.241,29,12042.529,3540.773,11728.738,3327.221
2761472,12.551,3041,0.216,29,8106.830,5355.923,8088.125,5394.320
2886071,8.019,4965,11.605,35,496.395,312.693,526.228,310.102
2886586,16.537,0,0.000,35,294173.986,54691.494,290652.782,57199.694
3127674,11.821,3033,0.161,35,5129.242,3480.020,5343.907,3754.517
3127674,11.821,3033,0.161,36,5358.757,3493.928,5216.500,3472.282
3814749,9.728,8416,1.273,30,6243.148,3002.495,4275.068,2766.720
3814944,12.418,3473,0.479,30,4912.296,1788.842,5084.370,2114.332
3815618,8.168,5060,10.432,30,513.170,280.675,591.383,287.488
3888273,14.784,0,0.000,30,40809.203,10371.485,40740.825,10722.136
3905338,12.306,0,0.000,30,4498.231,881.209,4483.244,1296.863
3922848,8.282,4688,11.131,30,575.722,311.121,609.049,307.642
3959220,8.027,4036,48.311,30,612.098,463.329,629.874,422.194
3962869,4.677,6270,1.131,30,118.344,31.901,107.046,30.262
3990402,10.905,50000,0.147,30,1880.318,456.415,2089.780,506.455
3990629,15.508,0,0.000,30,48484.746,8391.497,48039.060,8716.595
4007712,8.043,6296,1.305,30,418.841,85.896,476.835,89.671
4008073,10.867,0,0.000,30,2263.972,910.423,2344.358,986.091
4068716,11.252,3312,0.296,32,2325.436,784.372,2278.673,598.497
4116436,9.237,7753,2.595,32,2473.955,984.991,2498.612,995.067
4205592,8.198,3967,33.636,32,467.886,233.622,600.559,431.862
4293565,9.379,7568,2.003,32,1119.057,232.438,1143.190,238.642
4357066,9.432,8184,1.992,32,2232.261,438.976,2264.854,451.024
4506340,8.003,0,0.000,35,1063.083,968.128,904.176,545.915
4506340,8.003,0,0.000,36,669.781,253.807,575.093,326.905
4588120,8.109,4941,12.183,35,517.559,321.992,605.604,354.189
4588120,8.109,4941,12.183,36,488.104,247.218,465.781,244.759
4613848,8.064,4888,10.062,33,490.826,229.456,463.337,242.965
4616072,12.889,6600,1.237,33,5538.106,1734.479,5460.707,1699.677
4671860,15.038,0,0.000,31,30424.636,5874.142,29866.757,5490.565
4672985,10.992,5735,1.175,31,1658.350,311.623,1710.245,335.616
4698072,8.069,4808,10.581,31,481.860,267.465,516.796,269.479
4698361,16.442,31000,0.180,31,104925.700,19480.940,104364.961,19922.597
4715901,14.919,0,0.000,31,53941.090,14741.692,89194.238,19183.625
4723156,12.489,3057,0.267,31,31544.022,28438.607,32230.034,29275.246
4742308,8.294,4791,10.827,31,639.944,450.975,666.308,452.143
4742417,6.354,5705,2.053,31,239.176,63.402,201.271,56.601
4748040,5.301,6300,1.157,31,453.452,215.030,307.727,128.578
4970499,16.266,0,0.000,35,1375442260.742,118079246.521,319117156.982,1624717529.297
4970499,16.266,0,0.000,36,7510243.893,2740477.085,3393077.374,2368535.042
4983692,8.076,4322,76.808,33,433.802,132.649,441.489,98.221
5097543,8.061,3967,55.315,33,490.697,275.408,466.352,199.450
5362024,8.710,3588,0.467,35,1148.161,398.694,1248.003,573.627
5392904,15.818,0,0.000,35,64943.984,12199.436,66130.176,12649.078
5394046,8.123,5081,12.193,35,477.188,229.744,528.664,226.879
5452928,15.667,0,0.000,35,46710.674,15540.841,45927.033,15131.019
5576756,8.074,5142,8.674,36,446.700,192.602,490.673,195.776
5624184,15.997,0,0.000,35,108802.915,20118.736,106127.329,20422.481
5624184,15.997,0,0.000,36,98848.186,17159.240,98563.328,18133.327
5640393,11.181,0,0.000,29,7635.890,5592.752,7769.704,5674.977
5656273,9.211,3815,0.587,29,33633.478,30689.165,33601.958,30714.229
5676537,9.320,4515,0.687,29,2593.635,2329.856,2637.448,2228.330
5678173,8.006,4931,10.486,29,507.312,299.224,522.879,295.450
5717323,8.107,4475,16.725,29,554.383,397.331,577.070,397.226
5724661,11.205,8379,1.721,29,2183.348,393.070,2298.289,426.999
5778313,8.001,4740,7.527,29,524.209,327.391,523.838,327.409
5796048,10.808,3621,0.559,29,12218.260,11956.867,12299.508,11956.762
6176523,7.473,6599,10.032,34,333.407,127.695,319.938,123.051
6424046,8.386,5214,9.968,34,507.559,207.503,507.673,212.810
6609005,13.282,0,0.000,34,30628.182,18409.146,30604.333,18721.871
6610653,10.219,5856,2.063,34,1238.383,527.415,1221.930,530.139
6677245,5.384,5938,1.633,34,203.559,47.877,119.329,33.013
6778185,8.004,5309,2.791,34,414.029,93.023,405.066,89.826
6871644,8.002,10144,3.698,34,390.885,66.294,404.206,76.111
6992156,12.393,5868,0.819,34,4312.692,815.264,4388.748,916.401
7020254,12.746,5742,0.856,34,5720.718,1509.894,5719.193,1486.085
7032000,8.037,5731,12.541,34,461.773,209.445,436.174,205.993
7148510,8.033,4679,13.420,29,611.503,404.244,552.736,408.428
7151484,9.880,3403,0.439,29,11650.791,7423.169,11465.494,7312.509
7220927,8.020,4862,9.735,29,638.471,503.925,612.364,498.191
7222624,8.627,4712,10.858,30,686.932,463.461,664.497,469.124
7245573,8.032,4473,19.396,30,446.535,239.231,410.046,234.451
7317423,8.075,4931,6.451,30,450.201,182.237,415.941,180.156
7323195,8.000,6739,1.406,31,475.967,276.176,462.246,278.810
7323195,8.000,6739,1.406,33,461.699,265.831,447.588,268.091
7491381,9.990,5692,0.963,31,1659.275,1369.586,1742.531,1458.836
7491381,9.990,5692,0.963,32,2415.627,2008.170,2410.062,2017.076
7491381,9.990,5692,0.963,33,2587.779,2016.498,2541.013,1923.803
7493647,9.279,7394,2.109,32,3086.659,1213.860,3092.842,1209.780
7493647,9.279,7394,2.109,33,3032.346,1127.449,3024.067,1123.196
7586485,8.520,5801,1.113,31,1507.583,1620.237,1695.567,1643.779
7586485,8.520,5801,1.113,32,1368.439,1442.465,1424.280,1437.322
7586966,8.008,4730,11.252,31,524.257,340.618,495.185,338.785
7586966,8.008,4730,11.252,32,526.662,337.026,502.127,335.614
7623047,8.089,10020,2.086,31,391.874,75.309,370.918,70.731
7623047,8.089,10020,2.086,32,390.236,75.106,380.261,71.499
7625199,11.353,4012,0.565,31,2051.443,356.681,1927.246,347.265
7625199,11.353,4012,0.565,32,2157.412,454.229,2077.653,395.691
7647775,11.020,3362,0.497,31,5364.347,3176.584,5146.250,3127.989
7647775,11.020,3362,0.497,32,3550.655,2249.812,3283.442,2253.224
7649668,8.071,4572,12.297,31,552.574,335.657,516.293,325.877
7649668,8.071,4572,12.297,32,495.994,272.118,482.984,271.525
