ticids,tmags,teff,rad,sec,slow_2min,slow_1hr,fast_2min,fast_1hr
593228,9.222,3356,0.466,32,2206.591,1436.186,1929.303,1088.648
593230,8.275,3806,0.573,32,900.862,579.810,790.310,452.190
608932,8.298,4945,8.908,32,547.363,262.269,487.766,258.954
614556,8.040,6000,1.633,32,377.086,67.473,365.667,79.493
626529,16.471,0,0.000,32,118416.905,20104.088,120172.426,19988.921
672624,8.117,6343,1.634,32,3914.569,4139.234,3970.674,4189.337
737327,9.149,5872,1.349,32,1877.178,1950.990,1907.548,1985.417
767943,8.068,4402,23.307,32,465.127,234.956,426.902,233.422
770004,8.029,7257,4.259,32,413.882,73.723,356.832,63.795
816939,8.037,6477,1.196,34,408.090,79.919,479.071,88.263
820148,8.094,4762,14.344,34,561.381,421.303,601.658,418.818
829147,8.218,5016,10.423,34,462.548,201.124,453.618,204.674
972858,8.785,4720,10.771,34,658.180,329.915,756.434,342.745
975989,12.615,3376,0.503,36,5503.382,1513.407,5557.547,1629.589
990995,8.657,6444,1.296,36,537.835,138.105,615.128,141.588
1007010,13.456,3161,0.400,36,10396.272,3225.436,10395.526,3212.480
1039707,8.013,4857,10.491,34,524.483,353.278,512.136,346.254
1107885,15.125,0,0.000,34,46895.072,8501.666,47384.847,8788.805
1119071,8.076,4814,9.287,31,503.767,295.649,525.073,288.538
1122511,8.099,5316,2.690,31,457.989,167.633,517.425,178.663
1129033,9.627,5605,0.934,31,4022.453,3606.070,4041.397,3608.914
1141092,8.385,4998,20.220,34,538.628,254.242,570.952,255.060
1232360,10.823,3448,0.609,35,2339.466,1176.371,2312.930,1172.297
1235623,8.066,4328,22.591,32,455.570,261.631,439.367,257.912
1258935,9.963,5739,0.968,35,1032.059,398.178,1079.455,254.437
1258971,8.309,3745,54.257,35,495.453,202.877,545.959,161.441
1273249,10.070,3962,0.900,32,2367.490,1594.249,2405.027,1582.299
1340650,8.181,4001,31.691,35,486.009,252.194,493.321,203.321
1396359,8.139,4675,17.525,32,505.776,309.397,478.516,310.337
1407086,13.574,3158,0.311,34,12450.501,3178.860,12669.560,3616.709
1438316,8.022,5080,9.823,32,514.844,341.473,485.117,334.449
1440684,8.110,4920,10.876,32,539.405,345.091,512.178,345.429
1472576,16.311,0,0.000,35,112841.561,20382.313,114637.427,20819.187
1517807,10.026,7984,3.249,32,5782.023,2125.741,5774.503,2129.406
1528696,13.169,4669,0.783,32,7886.649,1884.675,8051.420,2043.337
1539914,14.076,0,0.000,36,30756.215,6048.846,30802.818,6014.633
1588469,8.108,4740,8.033,36,579.346,328.333,603.162,332.938
1595409,8.167,4094,28.256,36,497.915,192.315,562.959,210.264
1605355,8.155,4544,19.808,34,513.848,294.708,546.287,297.419
1677334,9.344,4294,25.066,34,802.449,281.628,871.340,267.733
1712781,5.985,10624,2.214,35,588.025,597.416,576.219,590.060
1732081,8.031,5018,6.961,35,444.632,166.472,493.440,167.958
2088340,8.040,4240,31.151,35,476.384,193.213,539.636,195.978
2089490,8.742,6299,1.875,35,570.969,121.515,713.480,151.488
2137185,13.880,3227,0.219,35,14862.354,3729.860,15090.769,3802.781
2670610,11.544,5640,1.156,27,2819.053,554.770,2872.988,601.206
2760232,11.126,0,0.000,29,3493.371,2587.340,3612.189,2600.505
2760710,13.841,3176,0.241,29,12042.529,3540.773,11801.764,3312.495
2761472,12.551,3041,0.216,29,8106.830,5355.923,8083.128,5391.368
2886071,8.019,4965,11.605,35,496.395,312.693,530.634,310.060
2886586,16.537,0,0.000,35,294173.986,54691.494,294733.316,57909.247
3127674,11.821,3033,0.161,35,5129.242,3480.020,5360.330,3760.400
3127674,11.821,3033,0.161,36,5358.757,3493.928,5239.088,3458.339
3814749,9.728,8416,1.273,30,6243.148,3002.495,4280.676,2783.653
3814944,12.418,3473,0.479,30,4912.296,1788.842,5048.187,2083.292
3815618,8.168,5060,10.432,30,513.170,280.675,578.997,284.910
3888273,14.784,0,0.000,30,40809.203,10371.485,40971.614,10662.579
3905338,12.306,0,0.000,30,4498.231,881.209,4448.024,1284.210
3922848,8.282,4688,11.131,30,575.722,311.121,613.069,309.158
3959220,8.027,4036,48.311,30,612.098,463.329,631.169,423.180
