ticids,tmag,teff_atl,rad_atl,pdet,teff_tic,rad_tic
128790976,0.0,0.0,0.0,0.0,0.0,0.0
143257766,0.0,0.0,0.0,0.0,0.0,0.0
302065304,0.0,0.0,0.0,0.0,0.0,0.0
469779830,0.0,0.0,0.0,0.0,0.0,0.0
96855460,0.0,0.0,0.0,0.0,0.0,0.0
219327284,0.0,0.0,0.0,0.0,0.0,0.0
238814023,0.0,0.0,0.0,0.0,0.0,0.0
265488188,0.0,0.0,0.0,0.0,0.0,0.0
403224672,0.0,0.0,0.0,0.0,0.0,0.0
387241049,0.0,0.0,0.0,0.0,0.0,0.0
410214986,0.0,0.0,0.0,0.0,0.0,0.0
318007796,0.0,0.0,0.0,0.0,0.0,0.0
451599528,0.0,0.0,0.0,0.0,0.0,0.0
261136679,0.0,0.0,0.0,0.0,0.0,0.0
263003176,0.0,0.0,0.0,0.0,0.0,0.0
270341214,0.0,0.0,0.0,0.0,0.0,0.0
317300584,0.0,0.0,0.0,0.0,0.0,0.0
391949880,0.0,0.0,0.0,0.0,0.0,0.0
259863352,0.0,0.0,0.0,0.0,0.0,0.0
25132314,0.0,0.0,0.0,0.0,0.0,0.0
277301936,0.0,0.0,0.0,0.0,0.0,0.0
294869729,0.0,0.0,0.0,0.0,0.0,0.0
29781292,0.0,0.0,0.0,0.0,0.0,0.0
30631031,0.0,0.0,0.0,0.0,0.0,0.0
32000460,0.0,0.0,0.0,0.0,0.0,0.0
388131027,0.0,0.0,0.0,0.0,0.0,0.0
38906005,0.0,0.0,0.0,0.0,0.0,0.0
177258735,0.0,0.0,0.0,0.0,0.0,0.0
299945285,0.0,0.0,0.0,0.0,0.0,0.0
453099619,0.0,0.0,0.0,0.0,0.0,0.0
287329267,0.0,0.0,0.0,0.0,0.0,0.0
339672028,0.0,0.0,0.0,0.0,0.0,0.0
349829627,0.0,0.0,0.0,0.0,0.0,0.0
374997123,0.0,0.0,0.0,0.0,0.0,0.0
375034557,0.0,0.0,0.0,0.0,0.0,0.0
391892593,0.0,0.0,0.0,0.0,0.0,0.0
150164875,0.0,0.0,0.0,0.0,0.0,0.0
220414682,0.0,0.0,0.0,0.0,0.0,0.0
260351540,0.0,0.0,0.0,0.0,0.0,0.0
381949122,0.0,0.0,0.0,0.0,0.0,0.0
382198673,0.0,0.0,0.0,0.0,0.0,0.0
55525572,0.0,0.0,0.0,0.0,0.0,0.0
204543724,0.0,0.0,0.0,0.0,0.0,0.0
154618248,0.0,0.0,0.0,0.0,0.0,0.0
160074939,0.0,0.0,0.0,0.0,0.0,0.0
47316976,0.0,0.0,0.0,0.0,0.0,0.0
206546422,0.0,0.0,0.0,0.0,0.0,0.0
53992917,0.0,0.0,0.0,0.0,0.0,0.0
53994275,0.0,0.0,0.0,0.0,0.0,0.0
69747919,0.0,0.0,0.0,0.0,0.0,0.0
290045925,0.0,0.0,0.0,0.0,0.0,0.0
139191168,0.0,0.0,0.0,0.0,0.0,0.0
152808505,0.0,0.0,0.0,0.0,0.0,0.0
425935521,3.66709995,5970.17261424,1.03147919369,0.995113150641,5960.81005859,1.05331004
394210384,0.0,0.0,0.0,0.0,0.0,0.0
50491108,0.0,0.0,0.0,0.0,0.0,0.0
261258875,0.0,0.0,0.0,0.0,0.0,0.0
150249155,0.0,0.0,0.0,0.0,0.0,0.0
