ticids,tmags,teff,rad,sec,default,defaultcrs,hard,hardest
593228,9.222,3356,0.466,32,3434.546,3214.231,3214.231,3188.702
593230,8.275,3806,0.573,32,1406.864,1313.071,1313.071,1307.234
608932,8.298,4945,8.908,32,1054.907,975.923,975.923,972.200
614556,8.040,6000,1.633,32,874.293,815.667,815.667,813.968
626529,16.471,0,0.000,32,292622.695,293300.882,293300.882,293300.882
672624,8.117,6343,1.634,32,4053.172,4235.603,4235.603,4235.280
737327,9.149,5872,1.349,32,2416.664,2476.063,2476.063,2475.317
767943,8.068,4402,23.307,32,938.930,881.734,881.734,878.366
770004,8.029,7257,4.259,32,878.438,810.571,810.571,807.867
816939,8.037,6477,1.196,34,1156.188,903.394,903.394,856.280
820148,8.094,4762,14.344,34,1191.442,1019.382,1019.382,962.010
829147,8.218,5016,10.423,34,1021.224,918.277,918.277,908.749
972858,8.785,4720,10.771,34,1703.792,1360.539,1360.539,1286.674
975989,12.615,3376,0.503,36,12920.736,12744.957,12744.957,12742.852
990995,8.657,6444,1.296,36,1485.026,1250.504,1250.504,1153.126
1007010,13.456,3161,0.400,36,23583.579,23497.757,23497.757,23497.757
1039707,8.013,4857,10.491,34,992.333,896.320,896.320,879.679
1107885,15.125,0,0.000,34,113588.861,113333.633,113333.633,113333.633
1119071,8.076,4814,9.287,31,1096.450,923.106,923.106,891.465
1122511,8.099,5316,2.690,31,1209.587,937.160,937.160,886.880
1129033,9.627,5605,0.934,31,4655.259,4429.097,4429.097,4413.225
1141092,8.385,4998,20.220,34,1256.315,1130.246,1130.246,1119.721
1232360,10.823,3448,0.609,35,4403.688,4044.403,4044.403,3963.249
1235623,8.066,4328,22.591,32,925.188,855.848,855.848,850.382
1258935,9.963,5739,0.968,35,2611.454,2294.120,2294.120,2195.656
1258971,8.309,3745,54.257,35,1313.185,1098.944,1098.944,1025.217
1273249,10.070,3962,0.900,32,3300.164,3246.909,3246.909,3245.515
1340650,8.181,4001,31.691,35,1142.114,978.845,978.845,924.516
1396359,8.139,4675,17.525,32,979.595,906.743,906.743,903.485
1407086,13.574,3158,0.311,34,29075.063,28989.287,28989.287,28883.695
1438316,8.022,5080,9.823,32,941.579,891.726,891.726,889.622
1440684,8.110,4920,10.876,32,989.654,910.194,910.194,907.820
1472576,16.311,0,0.000,35,278539.559,278054.205,278054.205,278054.205
1517807,10.026,7984,3.249,32,6168.221,6325.712,6325.712,6325.716
1528696,13.169,4669,0.783,32,19055.871,19001.992,19001.992,19001.992
1539914,14.076,0,0.000,36,74080.107,73816.057,73816.057,73816.057
1588469,8.108,4740,8.033,36,1266.372,958.424,958.424,927.145
1595409,8.167,4094,28.256,36,1314.928,1022.895,1022.895,989.457
1605355,8.155,4544,19.808,34,1196.409,962.578,962.578,928.068
1677334,9.344,4294,25.066,34,2128.797,1673.655,1673.655,1633.391
1712781,5.985,10624,2.214,35,752.109,732.756,732.756,722.223
1732081,8.031,5018,6.961,35,1141.640,905.186,905.186,837.947
2088340,8.040,4240,31.151,35,1262.644,949.730,949.730,877.987
2089490,8.742,6299,1.875,35,1743.042,1310.588,1310.588,1208.009
2137185,13.880,3227,0.219,35,33610.898,33445.632,33445.632,33434.033
2670610,11.544,5640,1.156,27,7039.620,6727.572,6727.572,6701.113
2760232,11.126,0,0.000,29,6213.215,5653.799,5653.799,5550.935
2760710,13.841,3176,0.241,29,28097.405,28013.311,28013.311,27975.120
2761472,12.551,3041,0.216,29,13897.357,13697.948,13697.948,13679.260
2886071,8.019,4965,11.605,35,1114.388,984.173,984.173,911.916
2886586,16.537,0,0.000,35,701979.435,702810.043,702810.043,702810.043
3127674,11.821,3033,0.161,35,10096.693,10020.428,10020.428,10007.315
3127674,11.821,3033,0.161,36,9975.067,9943.165,9943.165,9940.194
3814749,9.728,8416,1.273,30,8455.714,8176.545,8176.545,7546.392
3814944,12.418,3473,0.479,30,11264.046,10947.151,10947.151,10929.134
3815618,8.168,5060,10.432,30,1293.771,997.804,997.804,937.368
3888273,14.784,0,0.000,30,80708.070,80761.484,80761.484,80761.484
3905338,12.306,0,0.000,30,9972.874,9533.510,9533.510,9465.909
3922848,8.282,4688,11.131,30,1344.602,1068.794,1068.794,1007.363
3959220,8.027,4036,48.311,30,1243.357,1015.188,1015.188,981.494
3962869,4.677,6270,1.131,30,241.099,204.645,204.645,199.585
3990402,10.905,50000,0.147,30,5040.815,4316.908,4316.908,4237.388
3990629,15.508,0,0.000,30,116540.818,116536.839,116536.839,116536.839
4007712,8.043,6296,1.305,30,1164.631,895.892,895.892,840.379
4008073,10.867,0,0.000,30,5003.899,4406.584,4406.584,4300.223
4068716,11.252,3312,0.296,32,5324.956,5097.772,5097.772,5067.698
4116436,9.237,7753,2.595,32,3043.300,2844.819,2844.819,2828.310
4205592,8.198,3967,33.636,32,1192.037,1016.142,1016.142,992.382
4293565,9.379,7568,2.003,32,2063.925,1831.495,1831.495,1805.678
4357066,9.432,8184,1.992,32,2941.011,2722.617,2722.617,2693.433
4506340,8.003,0,0.000,35,1646.911,1438.862,1438.862,1149.092
4506340,8.003,0,0.000,36,1252.125,1165.040,1165.040,936.545
4588120,8.109,4941,12.183,35,1248.275,1070.998,1070.998,1009.482
4588120,8.109,4941,12.183,36,989.760,927.985,927.985,918.981
4613848,8.064,4888,10.062,33,993.949,879.686,879.686,871.347
4616072,12.889,6600,1.237,33,12990.217,12958.422,12958.422,12812.461
4671860,15.038,0,0.000,31,72338.826,72155.148,72155.148,72155.148
4672985,10.992,5735,1.175,31,4141.443,3841.857,3841.857,3820.094
4698072,8.069,4808,10.581,31,1120.823,901.974,901.974,869.475
4698361,16.442,31000,0.180,31,255154.141,255046.497,255046.497,255046.497
4715901,14.919,0,0.000,31,203251.968,205112.785,205112.785,205112.785
4723156,12.489,3057,0.267,31,33792.478,33862.139,33862.139,33831.056
4742308,8.294,4791,10.827,31,1290.237,1080.449,1080.449,1040.393
4742417,6.354,5705,2.053,31,464.357,389.358,389.358,378.482
4748040,5.301,6300,1.157,31,664.259,650.582,650.582,642.889
4970499,16.266,0,0.000,35,1502006983.329,880459841.228,880459841.228,902110885.609
4970499,16.266,0,0.000,36,3465113.400,3434033.244,3434033.244,3434485.904
4983692,8.076,4322,76.808,33,1065.398,936.780,936.780,920.472
5097543,8.061,3967,55.315,33,1078.994,955.554,955.554,905.456
5362024,8.710,3588,0.467,35,2036.905,1795.140,1795.140,1747.816
5392904,15.818,0,0.000,35,159241.747,159068.020,159068.020,159068.020
5394046,8.123,5081,12.193,35,1206.891,977.784,977.784,923.474
5452928,15.667,0,0.000,35,107793.842,107757.541,107757.541,107757.541
5576756,8.074,5142,8.674,36,1123.248,908.358,908.358,861.701
5624184,15.997,0,0.000,35,257345.718,256688.826,256688.826,256688.826
5624184,15.997,0,0.000,36,240418.611,240339.902,240339.902,240339.902
5640393,11.181,0,0.000,29,12971.776,12320.257,12320.257,12277.576
5656273,9.211,3815,0.587,29,33720.144,34091.081,34091.081,33912.798
5676537,9.320,4515,0.687,29,3660.847,3474.268,3474.268,3418.456
5678173,8.006,4931,10.486,29,1099.583,950.167,950.167,894.128
5717323,8.107,4475,16.725,29,1158.234,985.659,985.659,947.269
5724661,11.205,8379,1.721,29,5266.948,4721.702,4721.702,4667.384
5778313,8.001,4740,7.527,29,1057.245,933.245,933.245,886.734
5796048,10.808,3621,0.559,29,14713.535,14573.063,14573.063,14520.084
6176523,7.473,6599,10.032,34,733.496,666.070,666.070,655.838
6424046,8.386,5214,9.968,34,1154.533,1035.744,1035.744,1008.904
6609005,13.282,0,0.000,34,36748.202,36502.504,36502.504,36500.092
6610653,10.219,5856,2.063,34,2785.138,2613.068,2613.068,2601.121
6677245,5.384,5938,1.633,34,268.801,245.958,245.958,244.208
6778185,8.004,5309,2.791,34,965.942,847.795,847.795,832.601
6871644,8.002,10144,3.698,34,990.810,862.489,862.489,807.842
