ticids,tmags,teff,rad,sec,default,defaultcrs,hard,hardest
593228,9.222,3356,0.466,32,1942.224,1908.306,1908.306,1894.167
593230,8.275,3806,0.573,32,798.670,782.006,782.006,779.971
608932,8.298,4945,8.908,32,489.149,472.555,472.555,471.308
614556,8.040,6000,1.633,32,362.725,352.735,352.735,352.133
626529,16.471,0,0.000,32,119064.279,120174.773,120174.773,120174.773
672624,8.117,6343,1.634,32,3971.587,3970.127,3970.127,3970.197
737327,9.149,5872,1.349,32,1907.237,1904.735,1904.735,1904.412
767943,8.068,4402,23.307,32,429.754,415.384,415.384,414.624
770004,8.029,7257,4.259,32,359.784,342.809,342.809,341.678
816939,8.037,6477,1.196,34,473.610,379.025,379.025,359.758
820148,8.094,4762,14.344,34,599.042,546.590,546.590,528.090
829147,8.218,5016,10.423,34,453.759,422.836,422.836,419.409
972858,8.785,4720,10.771,34,756.053,642.202,642.202,616.668
975989,12.615,3376,0.503,36,5537.583,5549.236,5549.236,5549.678
990995,8.657,6444,1.296,36,612.142,523.777,523.777,484.688
1007010,13.456,3161,0.400,36,10328.394,10391.282,10391.282,10391.282
1039707,8.013,4857,10.491,34,512.305,487.681,487.681,482.948
1107885,15.125,0,0.000,34,46735.182,47395.539,47395.539,47395.539
1119071,8.076,4814,9.287,31,522.147,467.053,467.053,456.843
1122511,8.099,5316,2.690,31,513.220,419.867,419.867,403.043
1129033,9.627,5605,0.934,31,4043.632,4005.392,4005.392,4002.545
1141092,8.385,4998,20.220,34,577.259,539.971,539.971,536.006
1232360,10.823,3448,0.609,35,2330.815,2230.028,2230.028,2208.061
1235623,8.066,4328,22.591,32,439.296,423.148,423.148,421.177
1258935,9.963,5739,0.968,35,1076.550,966.417,966.417,926.471
1258971,8.309,3745,54.257,35,549.887,471.824,471.824,443.580
1273249,10.070,3962,0.900,32,2385.695,2398.933,2398.933,2398.220
1340650,8.181,4001,31.691,35,491.438,438.894,438.894,418.420
1396359,8.139,4675,17.525,32,479.932,461.122,461.122,460.227
1407086,13.574,3158,0.311,34,12470.729,12671.570,12671.570,12571.556
1438316,8.022,5080,9.823,32,486.748,478.661,478.661,477.948
1440684,8.110,4920,10.876,32,515.721,496.294,496.294,495.600
1472576,16.311,0,0.000,35,113452.718,114646.628,114646.628,114646.628
1517807,10.026,7984,3.249,32,5770.606,5773.485,5773.485,5773.583
1528696,13.169,4669,0.783,32,7931.633,8053.805,8053.805,8053.805
1539914,14.076,0,0.000,36,30527.931,30795.971,30795.971,30795.971
1588469,8.108,4740,8.033,36,599.871,503.904,503.904,494.126
1595409,8.167,4094,28.256,36,558.791,457.036,457.036,444.503
