ticids,tmags,teff,rad,sec,default,defaultcrs,hard,hardest
593228,9.222,3356,0.466,32,2206.591,2206.591,2206.591,2194.609
593230,8.275,3806,0.573,32,900.862,900.862,900.862,895.619
608932,8.298,4945,8.908,32,547.363,547.363,547.363,544.973
614556,8.040,6000,1.633,32,377.086,377.086,377.086,375.528
626529,16.471,0,0.000,32,118416.905,118416.905,118416.905,118309.192
672624,8.117,6343,1.634,32,3914.569,3914.569,3914.569,3916.390
737327,9.149,5872,1.349,32,1877.178,1877.178,1877.178,1877.178
767943,8.068,4402,23.307,32,465.127,465.127,465.127,464.422
770004,8.029,7257,4.259,32,413.882,413.882,413.882,413.476
816939,8.037,6477,1.196,34,408.090,408.090,408.090,396.812
820148,8.094,4762,14.344,34,561.381,561.381,561.381,560.216
829147,8.218,5016,10.423,34,462.548,462.548,462.548,462.096
972858,8.785,4720,10.771,34,658.180,658.180,658.180,654.152
975989,12.615,3376,0.503,36,5503.382,5503.382,5503.382,5449.179
990995,8.657,6444,1.296,36,537.835,537.835,537.835,536.092
1007010,13.456,3161,0.400,36,10396.272,10396.272,10396.272,10354.224
1039707,8.013,4857,10.491,34,524.483,524.483,524.483,522.223
1107885,15.125,0,0.000,34,46895.072,46895.072,46895.072,46824.738
1119071,8.076,4814,9.287,31,503.767,503.767,503.767,499.747
1122511,8.099,5316,2.690,31,457.989,457.989,457.989,453.070
1129033,9.627,5605,0.934,31,4022.453,4022.453,4022.453,4022.072
1141092,8.385,4998,20.220,34,538.628,538.628,538.628,537.369
1232360,10.823,3448,0.609,35,2339.466,2339.466,2339.466,2315.105
1235623,8.066,4328,22.591,32,455.570,455.570,455.570,454.339
1258935,9.963,5739,0.968,35,1032.059,1032.059,1032.059,1032.059
1258971,8.309,3745,54.257,35,495.453,495.453,495.453,495.453
1273249,10.070,3962,0.900,32,2367.490,2367.490,2367.490,2361.459
1274876,8.164,4430,19.395,31,516.908,516.908,516.908,513.808
1340650,8.181,4001,31.691,35,486.009,486.009,486.009,481.559
1396359,8.139,4675,17.525,32,505.776,505.776,505.776,503.289
1407086,13.574,3158,0.311,34,12450.501,12450.501,12450.501,12326.155
1438316,8.022,5080,9.823,32,514.844,514.844,514.844,514.591
1440684,8.110,4920,10.876,32,539.405,539.405,539.405,539.198
1472576,16.311,0,0.000,35,112841.561,112841.561,112841.561,112841.561
1517807,10.026,7984,3.249,32,5782.023,5782.023,5782.023,5782.023
1528696,13.169,4669,0.783,32,7886.649,7886.649,7886.649,7871.293
1539914,14.076,0,0.000,36,30756.215,30756.215,30756.215,30724.218
1588469,8.108,4740,8.033,36,579.346,579.346,579.346,575.035
1595409,8.167,4094,28.256,36,497.915,497.915,497.915,493.563
1605355,8.155,4544,19.808,34,513.848,513.848,513.848,511.478
1677334,9.344,4294,25.066,34,802.449,802.449,802.449,801.149
1712781,5.985,10624,2.214,35,588.025,588.025,588.025,586.618
1732081,8.031,5018,6.961,35,444.632,444.632,444.632,440.314
2088340,8.040,4240,31.151,35,476.384,476.384,476.384,473.635
2089490,8.742,6299,1.875,35,570.969,570.969,570.969,566.299
