ticids,tmags,teff,rad,sec,slow_2min,slow_1hr,fast_2min,fast_1hr
593228,9.222,3356,0.466,32,2194.609,1435.123,1913.354,1078.446
593230,8.275,3806,0.573,32,895.619,579.421,789.214,453.680
608932,8.298,4945,8.908,32,544.973,262.375,475.227,257.754
614556,8.040,6000,1.633,32,375.528,67.105,350.831,77.651
626529,16.471,0,0.000,32,118309.192,20051.500,119066.633,19677.060
672624,8.117,6343,1.634,32,3916.390,4139.792,3971.401,4191.242
737327,9.149,5872,1.349,32,1877.178,1950.990,1904.616,1982.974
767943,8.068,4402,23.307,32,464.422,234.917,418.995,234.321
770004,8.029,7257,4.259,32,413.476,73.616,345.984,61.695
816939,8.037,6477,1.196,34,396.812,78.261,365.138,67.685
820148,8.094,4762,14.344,34,560.216,421.229,531.600,414.339
829147,8.218,5016,10.423,34,462.096,201.370,422.219,204.028
972858,8.785,4720,10.771,34,654.152,330.025,630.793,335.058
975989,12.615,3376,0.503,36,5449.179,1490.498,5530.445,1660.386
990995,8.657,6444,1.296,36,536.092,137.749,488.707,116.122
1007010,13.456,3161,0.400,36,10354.224,3184.080,10324.242,3201.249
1039707,8.013,4857,10.491,34,522.223,352.685,485.357,345.938
1107885,15.125,0,0.000,34,46824.738,8488.457,46745.211,8652.764
1119071,8.076,4814,9.287,31,499.747,295.469,461.372,284.899
1122511,8.099,5316,2.690,31,453.070,167.726,408.441,168.057
1129033,9.627,5605,0.934,31,4022.072,3605.808,4009.500,3605.028
1141092,8.385,4998,20.220,34,537.369,254.340,546.449,252.345
1232360,10.823,3448,0.609,35,2315.105,1167.502,2234.974,1170.305
1235623,8.066,4328,22.591,32,454.339,261.949,423.159,257.095
1258935,9.963,5739,0.968,35,1032.059,398.178,932.044,241.294
1258971,8.309,3745,54.257,35,495.453,202.877,451.752,145.080
1273249,10.070,3962,0.900,32,2361.459,1603.338,2379.620,1589.783
1340650,8.181,4001,31.691,35,481.559,251.088,422.010,201.046
1396359,8.139,4675,17.525,32,503.289,308.708,463.631,308.425
1407086,13.574,3158,0.311,34,12326.155,3161.091,12371.418,3586.353
1438316,8.022,5080,9.823,32,514.591,341.718,480.603,333.961
1440684,8.110,4920,10.876,32,539.198,345.105,500.472,342.818
1472576,16.311,0,0.000,35,112841.561,20382.313,113463.573,20580.953
1517807,10.026,7984,3.249,32,5782.023,2125.741,5769.945,2136.098
1528696,13.169,4669,0.783,32,7871.293,1889.882,7934.194,2049.291
1539914,14.076,0,0.000,36,30724.218,6037.764,30522.287,6063.490
1588469,8.108,4740,8.033,36,575.035,328.358,500.236,329.456
1595409,8.167,4094,28.256,36,493.563,191.770,451.808,202.085
1605355,8.155,4544,19.808,34,511.478,294.746,465.016,291.478
1677334,9.344,4294,25.066,34,801.149,281.492,748.834,253.133
1712781,5.985,10624,2.214,35,586.618,595.899,564.670,583.082
1732081,8.031,5018,6.961,35,440.314,165.827,381.356,156.941
2088340,8.040,4240,31.151,35,473.635,193.390,410.467,186.571
2089490,8.742,6299,1.875,35,566.299,120.348,538.744,132.515
2137185,13.880,3227,0.219,35,14726.820,3694.213,14924.637,3833.426
2670610,11.544,5640,1.156,27,2819.053,554.770,2809.373,593.585
2760232,11.126,0,0.000,29,3461.621,2586.703,3473.389,2600.084
2760710,13.841,3176,0.241,29,12042.529,3540.773,11704.017,3324.482
