ticids,tmags,teff,rad,sec,slow_2min,slow_1hr,fast_2min,fast_1hr
593228,9.222,3356,0.466,32,2206.591,1436.186,1908.306,1085.505
593230,8.275,3806,0.573,32,900.862,579.810,782.006,451.783
608932,8.298,4945,8.908,32,547.363,262.269,472.555,258.074
614556,8.040,6000,1.633,32,377.086,67.473,352.735,78.160
626529,16.471,0,0.000,32,118416.905,20104.088,120174.773,19988.906
672624,8.117,6343,1.634,32,3914.569,4139.234,3970.127,4190.054
737327,9.149,5872,1.349,32,1877.178,1950.990,1904.735,1985.187
767943,8.068,4402,23.307,32,465.127,234.956,415.384,232.654
770004,8.029,7257,4.259,32,413.882,73.723,342.809,62.410
816939,8.037,6477,1.196,34,408.090,79.919,379.025,70.290
820148,8.094,4762,14.344,34,561.381,421.303,546.590,415.341
829147,8.218,5016,10.423,34,462.548,201.124,422.836,203.547
972858,8.785,4720,10.771,34,658.180,329.915,642.202,335.015
975989,12.615,3376,0.503,36,5503.382,1513.407,5549.236,1631.557
990995,8.657,6444,1.296,36,537.835,138.105,523.777,119.651
1007010,13.456,3161,0.400,36,10396.272,3225.436,10391.282,3211.474
1039707,8.013,4857,10.491,34,524.483,353.278,487.681,345.910
1107885,15.125,0,0.000,34,46895.072,8501.666,47395.539,8791.002
1119071,8.076,4814,9.287,31,503.767,295.649,467.053,284.180
1122511,8.099,5316,2.690,31,457.989,167.633,419.867,170.841
1129033,9.627,5605,0.934,31,4022.453,3606.070,4005.392,3607.620
1141092,8.385,4998,20.220,34,538.628,254.242,539.971,251.990
1232360,10.823,3448,0.609,35,2339.466,1176.371,2230.028,1164.465
1235623,8.066,4328,22.591,32,455.570,261.631,423.148,257.476
1258935,9.963,5739,0.968,35,1032.059,398.178,966.417,245.134
1258971,8.309,3745,54.257,35,495.453,202.877,471.824,155.724
1273249,10.070,3962,0.900,32,2367.490,1594.249,2398.933,1580.107
1340650,8.181,4001,31.691,35,486.009,252.194,438.894,200.930
1396359,8.139,4675,17.525,32,505.776,309.397,461.122,308.582
1407086,13.574,3158,0.311,34,12450.501,3178.860,12671.570,3618.672
1438316,8.022,5080,9.823,32,514.844,341.473,478.661,334.514
1440684,8.110,4920,10.876,32,539.405,345.091,496.294,343.603
1472576,16.311,0,0.000,35,112841.561,20382.313,114646.628,20799.337
1517807,10.026,7984,3.249,32,5782.023,2125.741,5773.485,2131.049
1528696,13.169,4669,0.783,32,7886.649,1884.675,8053.805,2043.128
1539914,14.076,0,0.000,36,30756.215,6048.846,30795.971,6005.660
1588469,8.108,4740,8.033,36,579.346,328.333,503.904,330.573
1595409,8.167,4094,28.256,36,497.915,192.315,457.036,200.804
1605355,8.155,4544,19.808,34,513.848,294.708,467.532,291.549
1677334,9.344,4294,25.066,34,802.449,281.628,728.047,250.807
1712781,5.985,10624,2.214,35,588.025,597.416,567.878,589.731
1732081,8.031,5018,6.961,35,444.632,166.472,403.397,159.211
2088340,8.040,4240,31.151,35,476.384,193.213,424.475,188.851
2089490,8.742,6299,1.875,35,570.969,121.515,556.951,128.315
2137185,13.880,3227,0.219,35,14862.354,3729.860,15089.868,3802.567
2670610,11.544,5640,1.156,27,2819.053,554.770,2807.744,598.131
2760232,11.126,0,0.000,29,3493.371,2587.340,3478.629,2595.732
2760710,13.841,3176,0.241,29,12042.529,3540.773,11791.870,3313.470
2761472,12.551,3041,0.216,29,8106.830,5355.923,8068.170,5391.493
2886071,8.019,4965,11.605,35,496.395,312.693,489.575,310.565
2886586,16.537,0,0.000,35,294173.986,54691.494,294759.333,57881.121
3127674,11.821,3033,0.161,35,5129.242,3480.020,5358.087,3763.293
3127674,11.821,3033,0.161,36,5358.757,3493.928,5239.844,3458.504
3814749,9.728,8416,1.273,30,6243.148,3002.495,4250.077,2784.851
3814944,12.418,3473,0.479,30,4912.296,1788.842,5022.406,2084.308
3815618,8.168,5060,10.432,30,513.170,280.675,489.630,281.507
3888273,14.784,0,0.000,30,40809.203,10371.485,40975.537,10661.411
3905338,12.306,0,0.000,30,4498.231,881.209,4403.713,1285.084
3922848,8.282,4688,11.131,30,575.722,311.121,520.551,300.052
3959220,8.027,4036,48.311,30,612.098,463.329,564.558,422.738
3962869,4.677,6270,1.131,30,118.344,31.901,96.100,28.444
3990402,10.905,50000,0.147,30,1880.318,456.415,1830.382,472.861
3990629,15.508,0,0.000,30,48484.746,8391.497,48465.770,8738.846
4007712,8.043,6296,1.305,30,418.841,85.896,377.357,74.084
4008073,10.867,0,0.000,30,2263.972,910.423,2169.160,986.372
4068716,11.252,3312,0.296,32,2325.436,784.372,2228.685,589.940
4116436,9.237,7753,2.595,32,2473.955,984.991,2460.153,989.271
4205592,8.198,3967,33.636,32,467.886,233.622,549.499,430.280
4293565,9.379,7568,2.003,32,1119.057,232.438,1090.654,229.861
4357066,9.432,8184,1.992,32,2232.261,438.976,2228.313,444.267
4506340,8.003,0,0.000,35,1063.083,968.128,850.178,545.491
4506340,8.003,0,0.000,36,669.781,253.807,551.946,324.444
4588120,8.109,4941,12.183,35,517.559,321.992,553.789,355.357
4588120,8.109,4941,12.183,36,488.104,247.218,448.313,244.094
4613848,8.064,4888,10.062,33,490.826,229.456,432.038,240.481
4616072,12.889,6600,1.237,33,5538.106,1734.479,5519.301,1704.269
4671860,15.038,0,0.000,31,30424.636,5874.142,30275.397,5581.434
4672985,10.992,5735,1.175,31,1658.350,311.623,1626.221,320.699
4698072,8.069,4808,10.581,31,481.860,267.465,445.942,262.604
4698361,16.442,31000,0.180,31,104925.700,19480.940,106548.600,19943.031
4715901,14.919,0,0.000,31,53941.090,14741.692,97419.783,19154.476
4723156,12.489,3057,0.267,31,31544.022,28438.607,32225.538,29277.185
4742308,8.294,4791,10.827,31,639.944,450.975,607.368,449.270
4742417,6.354,5705,2.053,31,239.176,63.402,177.484,54.597
4748040,5.301,6300,1.157,31,453.452,215.030,307.255,128.564
4970499,16.266,0,0.000,35,1375442260.742,118079246.521,1721921142.578,201400436.401
4970499,16.266,0,0.000,36,7510243.893,2740477.085,3406130.075,2377231.836
4983692,8.076,4322,76.808,33,433.802,132.649,396.801,92.853
5097543,8.061,3967,55.315,33,490.697,275.408,424.061,196.654
5362024,8.710,3588,0.467,35,1148.161,398.694,1189.823,583.182
5392904,15.818,0,0.000,35,64943.984,12199.436,66988.565,12852.518
5394046,8.123,5081,12.193,35,477.188,229.744,449.134,219.415
5452928,15.667,0,0.000,35,46710.674,15540.841,46313.521,15091.788
5576756,8.074,5142,8.674,36,446.700,192.602,419.680,189.725
5624184,15.997,0,0.000,35,108802.915,20118.736,107563.473,20817.274
5624184,15.997,0,0.000,36,98848.186,17159.240,99507.712,18360.229
5640393,11.181,0,0.000,29,7635.890,5592.752,7596.068,5670.499
5656273,9.211,3815,0.587,29,33633.478,30689.165,33606.809,30652.087
5676537,9.320,4515,0.687,29,2593.635,2329.856,2592.195,2225.425
5678173,8.006,4931,10.486,29,507.312,299.224,476.641,291.935
5717323,8.107,4475,16.725,29,554.383,397.331,523.669,395.796
5724661,11.205,8379,1.721,29,2183.348,393.070,2126.041,391.317
5778313,8.001,4740,7.527,29,524.209,327.391,484.109,325.005
5796048,10.808,3621,0.559,29,12218.260,11956.867,12280.113,11959.136
