ticids,tmags,teff,rad,sec,slow_2min,slow_1hr,fast_2min,fast_1hr
593228,9.222,3356,0.466,32,1682.830,920.638,1334.873,492.177
593230,8.275,3806,0.573,32,690.170,398.504,542.768,201.528
608932,8.298,4945,8.908,32,539.410,243.238,471.896,247.127
614556,8.040,6000,1.633,32,368.768,67.073,339.871,61.240
626529,16.471,0,0.000,32,117298.952,19932.202,120089.145,20382.889
672624,8.117,6343,1.634,32,4504.395,4975.141,4582.646,5028.473
737327,9.149,5872,1.349,32,2016.780,2002.022,1988.855,2072.629
767943,8.068,4402,23.307,32,456.873,231.839,410.876,223.576
770004,8.029,7257,4.259,32,404.204,74.142,338.545,61.152
816939,8.037,6477,1.196,34,382.156,75.114,357.545,65.659
820148,8.094,4762,14.344,34,556.952,392.805,523.857,402.746
829147,8.218,5016,10.423,34,451.659,197.065,417.283,193.530
972858,8.785,4720,10.771,34,643.952,328.029,609.930,334.745
975989,12.615,3376,0.503,36,5180.204,1269.125,5306.927,1224.189
990995,8.657,6444,1.296,36,531.280,113.776,479.142,111.081
1007010,13.456,3161,0.400,36,9617.305,2033.747,9670.592,1831.556
1039707,8.013,4857,10.491,34,523.194,372.833,476.712,365.675
1107885,15.125,0,0.000,34,46592.629,8054.261,47338.825,8275.716
1119071,8.076,4814,9.287,31,488.686,295.244,453.957,291.444
1122511,8.099,5316,2.690,31,417.018,94.247,374.865,85.763
1129033,9.627,5605,0.934,31,1710.843,557.659,1665.597,550.678
1141092,8.385,4998,20.220,34,531.104,265.640,490.277,249.159
1232360,10.823,3448,0.609,35,1882.192,917.766,1762.186,893.907
1235623,8.066,4328,22.591,32,451.129,249.999,410.346,225.918
1258935,9.963,5739,0.968,35,1003.264,235.153,910.741,203.428
1258971,8.309,3745,54.257,35,470.482,99.372,425.060,106.839
1273249,10.070,3962,0.900,32,1492.922,1113.506,1480.374,1134.671
1340650,8.181,4001,31.691,35,454.575,184.958,414.013,200.335
1396359,8.139,4675,17.525,32,498.230,292.151,465.975,301.739
1407086,13.574,3158,0.311,34,11911.036,2432.119,12082.562,2595.647
1438316,8.022,5080,9.823,32,520.234,348.134,486.212,349.724
1440684,8.110,4920,10.876,32,529.336,370.668,497.169,365.631
1472576,16.311,0,0.000,35,112788.813,19464.195,115360.821,20344.271
1517807,10.026,7984,3.249,32,6102.654,2221.091,6027.098,2198.557
1528696,13.169,4669,0.783,32,7770.461,1594.990,7989.883,1547.535
1539914,14.076,0,0.000,36,30933.116,6166.987,30751.515,5956.932
1588469,8.108,4740,8.033,36,558.322,342.345,491.514,339.341
1595409,8.167,4094,28.256,36,474.547,162.733,431.422,178.861
1605355,8.155,4544,19.808,34,500.174,315.216,445.694,310.488
1677334,9.344,4294,25.066,34,780.572,266.922,701.525,232.104
1712781,5.985,10624,2.214,35,580.281,658.754,587.307,695.030
1732081,8.031,5018,6.961,35,431.776,145.280,371.507,135.560
2088340,8.040,4240,31.151,35,449.096,194.060,389.270,193.972
2089490,8.742,6299,1.875,35,548.998,117.090,505.653,98.179
2137185,13.880,3227,0.219,35,13573.319,2664.355,13799.856,2764.036
2670610,11.544,5640,1.156,27,2855.057,515.064,2789.840,521.648
2760232,11.126,0,0.000,29,3170.450,2613.100,3095.954,2592.245
2760710,13.841,3176,0.241,29,11844.714,3420.934,11570.723,3236.153
2761472,12.551,3041,0.216,29,6139.769,3352.757,5999.880,3286.921
2886071,8.019,4965,11.605,35,495.225,323.434,456.696,287.202
2886586,16.537,0,0.000,35,297344.653,52392.086,293429.553,45998.165
3127674,11.821,3033,0.161,35,4942.710,4158.691,5150.291,4474.349
3127674,11.821,3033,0.161,36,5209.233,4529.227,5158.244,4460.386
3814749,9.728,8416,1.273,30,3421.686,793.607,3571.561,2037.635
3814944,12.418,3473,0.479,30,4679.809,1721.447,4799.727,1659.942
3815618,8.168,5060,10.432,30,500.837,261.796,466.063,277.261
3888273,14.784,0,0.000,30,41223.535,11386.472,41500.663,11008.337
3905338,12.306,0,0.000,30,4518.357,812.208,4303.839,887.500
3922848,8.282,4688,11.131,30,560.089,324.627,494.784,299.663
3959220,8.027,4036,48.311,30,485.505,165.429,412.865,161.805
3962869,4.677,6270,1.131,30,109.314,25.892,91.198,23.241
3990402,10.905,50000,0.147,30,1860.542,454.664,1807.431,464.296
3990629,15.508,0,0.000,30,48639.897,8024.524,48264.678,8379.241
4007712,8.043,6296,1.305,30,397.665,84.614,347.780,67.161
4008073,10.867,0,0.000,30,1992.301,493.635,1815.031,481.793
4068716,11.252,3312,0.296,32,2225.068,510.381,2151.014,437.166
4116436,9.237,7753,2.595,32,2558.664,1100.029,2542.846,1129.545
4205592,8.198,3967,33.636,32,445.031,191.763,413.748,178.110
4293565,9.379,7568,2.003,32,1134.317,234.180,1085.051,221.544
4357066,9.432,8184,1.992,32,2432.295,445.385,2444.844,449.494
4506340,8.003,0,0.000,35,477.198,209.790,636.882,395.102
4506340,8.003,0,0.000,36,453.205,141.083,435.399,275.979
4588120,8.109,4941,12.183,35,506.802,321.755,508.039,338.722
4588120,8.109,4941,12.183,36,476.447,252.473,441.408,237.892
4613848,8.064,4888,10.062,33,479.319,242.399,423.292,238.157
4616072,12.889,6600,1.237,33,5450.749,1263.514,5402.499,1157.823
4671860,15.038,0,0.000,31,30132.660,5283.199,30086.178,5517.998
4672985,10.992,5735,1.175,31,1642.798,314.509,1583.060,317.513
4698072,8.069,4808,10.581,31,471.233,280.840,430.539,263.343
4698361,16.442,31000,0.180,31,103426.235,19384.220,106208.166,20751.436
4715901,14.919,0,0.000,31,53542.928,15271.923,53349.265,15449.370
4723156,12.489,3057,0.267,31,6576.847,3920.446,5626.870,1926.996
4742308,8.294,4791,10.827,31,632.199,461.070,588.809,443.794
4742417,6.354,5705,2.053,31,221.455,59.120,170.731,47.366
4748040,5.301,6300,1.157,31,301.386,77.942,279.956,118.769
4970499,16.266,0,0.000,35,7806598.252,14328265.909,6742461.109,13142205.060
4970499,16.266,0,0.000,36,2690166.311,2889295.156,2557698.299,2714912.379
4983692,8.076,4322,76.808,33,421.348,98.798,386.354,86.603
5097543,8.061,3967,55.315,33,466.593,236.743,376.986,116.648
5362024,8.710,3588,0.467,35,612.713,164.015,592.344,158.447
5392904,15.818,0,0.000,35,64641.844,11120.346,67185.265,11276.893
5394046,8.123,5081,12.193,35,463.854,224.548,427.446,218.451
5452928,15.667,0,0.000,35,46605.708,17225.341,45258.022,16606.045
5576756,8.074,5142,8.674,36,430.539,203.163,406.767,191.409
5624184,15.997,0,0.000,35,107351.673,20399.944,107448.880,19949.169
5624184,15.997,0,0.000,36,99425.681,15684.257,99660.127,17853.608
5640393,11.181,0,0.000,29,6281.824,4491.316,6337.586,4566.607
5656273,9.211,3815,0.587,29,28091.491,30658.550,28029.190,30142.293
5676537,9.320,4515,0.687,29,1264.265,1038.436,1473.039,1161.712
5678173,8.006,4931,10.486,29,497.037,285.435,462.087,283.314
5717323,8.107,4475,16.725,29,547.187,411.097,509.541,403.851
5724661,11.205,8379,1.721,29,2176.729,364.084,2061.495,372.921
5778313,8.001,4740,7.527,29,514.137,313.183,465.047,345.836
5796048,10.808,3621,0.559,29,12888.143,13826.367,13102.705,14154.264
6176523,7.473,6599,10.032,34,323.699,126.369,295.067,125.795
6424046,8.386,5214,9.968,34,491.514,196.932,455.282,214.474
6609005,13.282,0,0.000,34,30776.612,19867.957,30886.810,19578.192
6610653,10.219,5856,2.063,34,1172.228,238.069,1096.671,210.983
6677245,5.384,5938,1.633,34,184.870,42.197,112.937,35.083
6778185,8.004,5309,2.791,34,396.604,90.756,357.368,84.703
6871644,8.002,10144,3.698,34,374.689,66.631,335.894,57.882
6992156,12.393,5868,0.819,34,4334.106,767.272,4367.951,787.421
7020254,12.746,5742,0.856,34,5701.101,1023.148,5644.102,1055.403
7032000,8.037,5731,12.541,34,451.129,197.198,404.381,199.363
7148510,8.033,4679,13.420,29,590.974,373.761,518.202,386.354
7151484,9.880,3403,0.439,29,1441.845,574.803,1211.287,545.243
7220927,8.020,4862,9.735,29,631.492,498.716,598.353,527.127
7222624,8.627,4712,10.858,30,681.333,466.947,657.208,502.914
7245573,8.032,4473,19.396,30,433.190,227.022,396.781,220.748
7317423,8.075,4931,6.451,30,440.082,173.868,391.302,170.554
