ticids,tmags,teff,rad,sec,slow_2min,slow_1hr,fast_2min,fast_1hr
593228,9.222,3356,0.466,32,2194.609,1435.123,1894.167,1077.434
593230,8.275,3806,0.573,32,895.619,579.421,779.971,451.587
608932,8.298,4945,8.908,32,544.973,262.375,471.308,257.827
614556,8.040,6000,1.633,32,375.528,67.105,352.133,78.035
626529,16.471,0,0.000,32,118309.192,20051.500,120174.773,19988.906
672624,8.117,6343,1.634,32,3916.390,4139.792,3970.197,4190.322
737327,9.149,5872,1.349,32,1877.178,1950.990,1904.412,1985.218
767943,8.068,4402,23.307,32,464.422,234.917,414.624,232.745
770004,8.029,7257,4.259,32,413.476,73.616,341.678,62.423
816939,8.037,6477,1.196,34,396.812,78.261,359.758,67.263
820148,8.094,4762,14.344,34,560.216,421.229,528.090,413.810
829147,8.218,5016,10.423,34,462.096,201.370,419.409,203.331
972858,8.785,4720,10.771,34,654.152,330.025,616.668,333.669
975989,12.615,3376,0.503,36,5449.179,1490.498,5549.678,1631.455
990995,8.657,6444,1.296,36,536.092,137.749,484.688,115.908
1007010,13.456,3161,0.400,36,10354.224,3184.080,10391.282,3211.474
1039707,8.013,4857,10.491,34,522.223,352.685,482.948,345.843
1107885,15.125,0,0.000,34,46824.738,8488.457,47395.539,8791.002
1119071,8.076,4814,9.287,31,499.747,295.469,456.843,285.143
1122511,8.099,5316,2.690,31,453.070,167.726,403.043,169.395
1129033,9.627,5605,0.934,31,4022.072,3605.808,4002.545,3607.986
1141092,8.385,4998,20.220,34,537.369,254.340,536.006,250.629
1232360,10.823,3448,0.609,35,2315.105,1167.502,2208.061,1163.010
1235623,8.066,4328,22.591,32,454.339,261.949,421.177,257.268
1258935,9.963,5739,0.968,35,1032.059,398.178,926.471,240.488
1258971,8.309,3745,54.257,35,495.453,202.877,443.580,144.869
1273249,10.070,3962,0.900,32,2361.459,1603.338,2398.220,1580.361
1340650,8.181,4001,31.691,35,481.559,251.088,418.420,200.682
1396359,8.139,4675,17.525,32,503.289,308.708,460.227,308.602
1407086,13.574,3158,0.311,34,12326.155,3161.091,12571.556,3605.627
1438316,8.022,5080,9.823,32,514.591,341.718,477.948,334.408
1440684,8.110,4920,10.876,32,539.198,345.105,495.600,343.492
1472576,16.311,0,0.000,35,112841.561,20382.313,114646.628,20799.337
1517807,10.026,7984,3.249,32,5782.023,2125.741,5773.583,2131.152
1528696,13.169,4669,0.783,32,7871.293,1889.882,8053.805,2043.128
1539914,14.076,0,0.000,36,30724.218,6037.764,30795.971,6005.660
1588469,8.108,4740,8.033,36,575.035,328.358,494.126,329.568
1595409,8.167,4094,28.256,36,493.563,191.770,444.503,201.150
1605355,8.155,4544,19.808,34,511.478,294.746,455.552,290.839
1677334,9.344,4294,25.066,34,801.149,281.492,713.467,248.508
1712781,5.985,10624,2.214,35,586.618,595.899,565.363,583.204
1732081,8.031,5018,6.961,35,440.314,165.827,377.845,156.820
2088340,8.040,4240,31.151,35,473.635,193.390,395.310,186.751
2089490,8.742,6299,1.875,35,566.299,120.348,517.061,125.057
2137185,13.880,3227,0.219,35,14726.820,3694.213,15087.377,3803.276
2670610,11.544,5640,1.156,27,2819.053,554.770,2797.359,595.531
2760232,11.126,0,0.000,29,3461.621,2586.703,3451.418,2598.945
2760710,13.841,3176,0.241,29,12042.529,3540.773,11776.590,3308.161
2761472,12.551,3041,0.216,29,8002.024,5349.865,8059.054,5390.329
2886071,8.019,4965,11.605,35,495.784,312.770,466.209,309.699
2886586,16.537,0,0.000,35,293577.462,54784.335,294759.333,57881.121
3127674,11.821,3033,0.161,35,5124.556,3479.005,5355.774,3767.666
3127674,11.821,3033,0.161,36,5325.089,3483.696,5238.743,3458.600
3814749,9.728,8416,1.273,30,4129.707,2977.700,4093.623,2732.024
3814944,12.418,3473,0.479,30,4891.912,1781.752,5014.343,2080.418
3815618,8.168,5060,10.432,30,509.863,280.724,468.638,279.815
3888273,14.784,0,0.000,30,40809.203,10371.485,40975.537,10661.411
3905338,12.306,0,0.000,30,4486.825,889.519,4379.218,1277.840
3922848,8.282,4688,11.131,30,573.438,311.293,503.170,301.570
3959220,8.027,4036,48.311,30,607.264,460.564,554.291,420.843
3962869,4.677,6270,1.131,30,115.656,31.741,93.938,28.539
3990402,10.905,50000,0.147,30,1871.705,454.732,1801.891,468.264
3990629,15.508,0,0.000,30,48087.951,8323.704,48465.770,8738.846
4007712,8.043,6296,1.305,30,413.536,84.678,356.107,70.364
4008073,10.867,0,0.000,30,2255.057,907.610,2128.775,974.953
4068716,11.252,3312,0.296,32,2312.689,779.864,2215.982,579.123
4116436,9.237,7753,2.595,32,2472.483,984.145,2457.866,986.902
4205592,8.198,3967,33.636,32,466.554,233.129,541.869,429.911
4293565,9.379,7568,2.003,32,1119.057,232.438,1084.585,230.271
4357066,9.432,8184,1.992,32,2231.560,438.552,2222.612,443.161
4506340,8.003,0,0.000,35,1049.222,953.457,770.390,547.244
4506340,8.003,0,0.000,36,508.845,245.684,470.899,319.432
4588120,8.109,4941,12.183,35,516.904,322.516,534.152,353.310
4588120,8.109,4941,12.183,36,485.109,246.746,445.797,244.560
4613848,8.064,4888,10.062,33,490.215,229.376,427.160,240.109
4616072,12.889,6600,1.237,33,5519.424,1731.395,5444.349,1700.187
4671860,15.038,0,0.000,31,30133.458,5897.954,30275.397,5581.434
4672985,10.992,5735,1.175,31,1653.817,309.918,1617.249,317.336
4698072,8.069,4808,10.581,31,478.202,266.709,435.184,261.789
4698361,16.442,31000,0.180,31,103640.206,19153.947,106548.600,19943.031
4715901,14.919,0,0.000,31,53941.090,14741.692,97419.783,19154.476
4723156,12.489,3057,0.267,31,31384.695,28345.468,32215.185,29275.194
4742308,8.294,4791,10.827,31,634.712,450.738,594.898,447.834
