Teff | logg | Fe_H    |Ref
6160| 4.42  |-0.53    |2019MNRAS.487.3162C
6166| 4.37  |-0.70    |2018AJ....155..111L
6168| 4.35  |-0.66    |2018A&A...614A..55A
6205| 4.42  |	      |2003AJ....125.1598L
6324|       |	      |2012A&A...542A.116A
6244| 4.62  |-0.62    |1996A&A...314..191G
6217|       |	      |2011A&A...530A.138C
6180| 4.35  |-0.66    |2014A&A...568A..25N
6139| 4.34  |-0.67    |1999MNRAS.305..693C
6139| 4.34  |-0.67    |1993A&A...275..101E
6112| 4.30  |-0.68    |1999A&A...341..241J
6110| 4.20  |-0.81    |1991A&A...244..425Z
6073|       |	      |1998A&AS..129..505B
6072| 4.54  |-0.57    |1999ApJ...521..753T
6072| 4.40  |-0.92    |1986A&A...160..264F
6072| 4.40  |-0.89    |1986A&A...165..183F
6072| 4.40  |-0.60    |1977MNRAS.181....1C
6067| 4.27  |-0.73    |2003A&A...410..527B
6063| 4.29  |-0.74    |2005A&A...440..321J
6054| 4.47  |-0.70    |2004A&A...420..183A
6051| 4.39  |-0.75    |2007A&A...465..271R
5990| 4.20  |-0.74    |2010MNRAS.405.1907B
5954| 3.81  |-0.60    |1994A&A...291..895A
5929| 4.28  |-0.64    |1983A&A...126..325S
5860| 4.00  |-0.80    |1989A&A...214..239B
5793|       |-0.67    |1966ApJ...143..527D
5663|       |-0.70    |1972ApJ...176..711B
    |       |-0.68    |1998A&A...330L..33J
6021| 4.09  |-0.74    |2016A&A...587A...2B
6195| 4.4   |-0.63    |2016A&A...586A..49B
5943| 3.99  |	      |2015A&A...579A..20M
6003| 4.07  |	      |2014MNRAS.442..220F
6195| 4.4   |-0.63    |2015A&A...577A...9B
6195| 4.36  |-0.63    |2014A&A...562A..71B
6150| 4.35  |-0.66    |2013ApJ...764...78R
6150| 4.35  |-0.66    |2012ApJ...756...46R
6054| 4.47  | 6.89    |2004A&A...420..183A
5910| 4.12  |-0.84    |2012A&A...541A..40M
6112| 4.30  |-0.68    |1999A&A...341..241J
6139| 4.34  |-0.67    |1999MNRAS.305..693C
    |       |-0.68    |1998A&A...330L..33J
6244| 4.62  |-0.62    |1996A&A...314..191G
5954| 3.81  |-0.60    |1994A&A...291..895A
6139| 4.34  |-0.67    |1993A&A...275..101E
6110| 4.20  |-0.81    |1991A&A...244..425Z
5860| 4.0   |-0.80    |1989A&A...214..239B
6072| 4.40  |-0.92    |1986A&A...160..264F
6072| 4.40  |-0.89    |1986A&A...165..183F
5929| 4.28  |-0.64    |1983A&A...126..325S
5954| 3.81  |-0.60    |1994A&A...291..895A
6139| 4.34  |-0.67    |1993A&A...275..101E
6110| 4.20  |-0.81    |1991A&A...244..425Z
5860| 4.0   |-0.80    |1989A&A...214..239B
6072| 4.40  |-0.89    |1986A&A...165..183F
6072| 4.40  |-0.92    |1986A&A...160..264F
5929| 4.28  |-0.64    |1983A&A...126..325S
6072| 4.4   |-0.60    |1977MNRAS.181....1C
5663|       |-0.70    |1972ApJ...176..711B
5793|       |-0.67    |1966ApJ...143..527D
