id_starname,zetatuc
teff,5924
teff_err,129
logg,4.38
logg_err,0.01
feh,-0.21
feh_err,0.09
lum,-99
lum_err,0
gmag,-99
gmag_err,0
rmag,-99
rmag_err,0
imag,-99
imag_err,0
zmag,-99
zmag_err,0
jmag,-99
jmag_err,0
hmag,-99
hmag_err,0
kmag,-99
kmag_err,0
gamag,-99
gamag_err,0
bpmag,-99
bpmag_err,0
rpmag,-99
rpmag_err,0
parallax,0.11617999999999999
parallax_err,0.000133
bmag,-99
bmag_err,0
vmag,-99
vmag_err,0
btmag,4.9
btmag_err,0.013999999999999999
vtmag,4.2860000000000005
vtmag_err,0.009000000000000001
numax,-99
numax_err,0
dnu,-99
dnu_err,0
dmag,-99.0
dmag_err,-99.0
ra,5.02
dec,-64.87
band,btmag
dir_dis,8.607342073420734
dir_dis_err1,0.00975909759097604
dir_dis_err2,-0.009763097630976603
dir_avs,0.0
dir_avs_err1,0.0
dir_avs_err2,-0.0
dir_rad,1.0535355704782794
dir_rad_err1,0.049603811408684306
dir_rad_err2,-0.04661749958872563
dir_lum,1.2277499067736715
dir_lum_err1,0.03631166953209841
dir_lum_err2,-0.035008147761121045
dir_teff,5924
dir_teff_err1,129
dir_teff_err2,-129
dir_mabs,5.225641699673793
dir_mabs_err1,0.03140871311908011
dir_mabs_err2,-0.031645801109688065
dir_mass,0.0
dir_mass_err1,0.0
dir_mass_err2,-0.0
dir_rho,0.0
dir_rho_err1,0.0
dir_rho_err2,-0.0
dir_fbol,5.301920773061478e-07
dir_fbol_err1,1.5629323282521243e-08
dir_fbol_err2,-1.5081176500840395e-08
