Teff | logg | Fe_H    |Ref
5950|4.30  | 0.11   |2019MNRAS.487.3162C
6018|4.3700|	    |2016A&A...585A...5B
5988|4.35  | 0.06   |2018AJ....155..111L
5980|4.36  | 0.07   |2018A&A...614A..55A
6016|4.385 | 0.13   |2018A&A...615A..76S
6073|4.477 | 0.12   |2018A&A...615A..76S
6076|4.383 | 0.14   |2018A&A...615A..76S
5991|4.40  | 0.09   |2018A&A...614A..84S
5998|4.34  |	    |2003AJ....125.1598L
6003|4.42  | 0.09   |2017A&A...606A..94D
6027|4.45  | 0.11   |2006A&A...458..873S
6009|4.44  | 0.10   |2006A&A...458..873S
6003|4.42  | 0.09   |2008A&A...487..373S
6000|	   |	    |2011A&A...530A.138C
5995|4.48  | 0.09   |2003A&A...398..363S
5995|4.48  | 0.09   |2001A&A...373.1019S
5991|4.42  | 0.10   |2006A&A...458..873S
5991|4.42  | 0.10   |2004A&A...415.1153S
5950|4.36  | 0.05   |2005ApJS..159..141V
5926|	   |	    |2005ApJ...626..446R
5895|4.21  | 0.03   |2006MNRAS.370..163B
5891|	   |	    |2012A&A...542A.116A
5663|3.94  | 0.00   |1975A&A....38..271H
6003|4.42  | 0.09   |2015A&A...576A..69D
6003|4.42  | 0.09   |2013A&A...556A.150S
5991|4.40  | 0.09   |2013A&A...555A.150T
6003|4.42  | 0.09   |2012A&A...545A..32A
6037|4.42  | 0.08   |2010ApJ...720.1290G
6003|4.42  | 0.09   |2008A&A...487..373S
5663|3.94  | 0.00   |1975A&A....38..271H
