Teff | logg | Fe_H    |Ref
 5900| 4.26  |-0.15   |2019MNRAS.487.3162C
 5978| 4.43  |-0.20   |2018AJ....155..111L
 5924| 4.35  |-0.21   |2018A&A...614A..55A
 5913| 4.242 |-0.22   |2018A&A...615A..76S
 5901| 4.750 |-0.49   |2018A&A...615A..76S
 5990| 4.49  |-0.18   |2018A&A...614A..84S
 5991| 4.41  |        |2003AJ....125.1598L
 5977| 4.51  |-0.18   |2017A&A...606A..94D
 6009| 4.52  |-0.26   |1994A&A...287..191P
 6000| 4.50  |-0.18   |1986A&A...166..195R
 6000| 4.50  |-0.10   |1981A&A...100...97G
 5999|       |        |2011A&A...530A.138C
 5977| 4.51  |-0.18   |2008A&A...487..373S
 5970| 4.48  |-0.07   |1999MNRAS.305..693C
 5956| 4.39  |-0.14   |2004A&A...415.1153S
 5948| 4.46  |-0.22   |2005ApJS..159..141V
 5940| 4.44  |-0.15   |2001A&A...373.1019S
 5906|       |        |1998A&A...339..858D
 5876| 4.44  |-0.27   |2007A&A...465..271R
 5867|       |        |1998A&AS..129..505B
 5860| 4.80  |-0.29   |1988A&A...206..100A
 5851| 4.47  |-0.29   |2004A&A...420..183A
 5793| 4.28  |-0.36   |1986A&A...160..264F
 5910| 4.28  |-0.21   |2016A&A...587A...2B
 5877| 4.25  |        |2015A&A...579A..20M
 5977| 4.51  |-0.18   |2015A&A...576A..69D
 5932| 4.3   |-0.19   |2015A&A...577A...9B
 5932| 4.33  |-0.19   |2014A&A...562A..71B
 5990| 4.49  |-0.18   |2013A&A...555A.150T
 5947| 4.39  |-0.22   |2013ApJ...764...78R
 5947| 4.39  |-0.22   |2012ApJ...756...46R
 5977| 4.51  |-0.18   |2012A&A...545A..32A
 5908| 4.26  |-0.20   |2010ApJ...720.1290G
 5809| 4.24  |-0.29   |2012A&A...541A..40M
 5970| 4.48  |-0.07   |1999MNRAS.305..693C
 6009| 4.52  |-0.26   |1994A&A...287..191P
 5860| 4.8   |-0.29   |1988A&A...206..100A
 6000| 4.5   |-0.18   |1986A&A...166..195R
 5793| 4.28  |-0.36   |1986A&A...160..264F
 6000| 4.5   |-0.10   |1981A&A...100...97G
 5977| 4.51  |-0.18   |2008A&A...487..373S
 6009| 4.52  |-0.26   |1994A&A...287..191P
 5860| 4.8   |-0.29   |1988A&A...206..100A
 6000| 4.5   |-0.18   |1986A&A...166..195R
 5793| 4.28  |-0.36   |1986A&A...160..264F
 6000| 4.5   |-0.10   |1981A&A...100...97G
