name rp rpe p pe mstar mstarep mstarem rstar rstarep rstarem
Kepler-10b 	     1.473    0.026 	  0.83749026 (29) 	  0.920  -0.020   +0.010  	  1.0662  -0.0075   +0.0069                   
Kepler-10c 	     2.323    0.028 	  45.294292 (97) 	  0.920  -0.020   +0.010  	  1.0662  -0.0075   +0.0069                   
Kepler-23b  	 1.694    0.076 	  7.106995 (73) 	  1.078  -0.077   +0.077  	  1.548  -0.048   +0.048  	                 
Kepler-23c  	 3.12    0.10 	     10.742434 (39) 	  1.078  -0.077   +0.077  	  1.548  -0.048   +0.048  	                 
Kepler-23d  	 2.235    0.088 	  15.27429 (17) 	  1.078  -0.077   +0.077  	  1.548  -0.048   +0.048  	                 
Kepler-25b  	 2.702    0.037 	  6.2385369 (33) 	  1.160  -0.050   +0.040  	  1.299  -0.016   +0.015  		             
Kepler-25c  	 5.154    0.060 	  12.7203678 (35) 	  1.160  -0.050   +0.040  	  1.299  -0.016   +0.015  		             
Kepler-37b  	 0.354    0.014 	  13.36805 (38) 	  0.810  -0.010   +0.020  	  0.7725  -0.0063   +0.0051                   
Kepler-37c  	 0.705    0.012 	  21.302071 (92) 	  0.810  -0.010   +0.020  	  0.7725  -0.0063   +0.0051                   
Kepler-37d  	 1.922    0.024 	  39.792232 (54) 	  0.810  -0.010   +0.020  	  0.7725  -0.0063   +0.0051                   
Kepler-65b  	 1.409    0.017 	  2.1549156 (25) 	  1.199  -0.030   +0.030  	  1.401  -0.014   +0.013  		             
Kepler-65c  	 2.571    0.033 	  5.8599408 (23) 	  1.199  -0.030   +0.030  	  1.401  -0.014   +0.013  		             
Kepler-65d  	 1.506    0.040 	  8.131231 (21) 	  1.199  -0.030   +0.030  	  1.401  -0.014   +0.013  		             
Kepler-68b  	 2.354    0.020 	  5.3987533 (13) 	  1.070  -0.020   +0.010  	  1.2379  -0.0051   +0.0067                   
Kepler-68c  	 0.927    0.025 	  9.604979 (45) 	  1.070  -0.020   +0.010  	  1.2379  -0.0051   +0.0067    
Kepler-92b  	 3.65    0.13 	     13.748933 (75) 	  1.209  -0.030   +0.020  	  1.719  -0.013   +0.011  		  
Kepler-92c  	 2.455    0.053 	  26.72311 (19) 	  1.209  -0.030   +0.020  	  1.719  -0.013   +0.011  		  
Kepler-92d  	 2.067    0.056 	  49.3568 (24) 		  1.209  -0.030   +0.020  	  1.719  -0.013   +0.011  		  
Kepler-100b 	 1.305    0.030 	  6.887037 (47) 	  1.109  -0.020   +0.020  	  1.5131  -0.011   +0.0093  		  
Kepler-100c 	 2.221    0.022 	  12.815909 (26) 	  1.109  -0.020   +0.020  	  1.5131  -0.011   +0.0093  		  
Kepler-100d 	 1.514    0.034 	  35.33313 (43) 	  1.109  -0.020   +0.020  	  1.5131  -0.011   +0.0093  	  
Kepler-103b 	 3.476    0.039 	  15.965316 (18) 	  1.099  -0.030   +0.019  	  1.455  -0.013   +0.024  		  
Kepler-103c 	 5.319    0.052 	  179.6133 (47) 	  1.099  -0.030   +0.019  	  1.450  -0.009   +0.009  		  
Kepler-107b 	 1.581    0.056 	  3.180026 (12) 	  1.142  -0.068   +0.068  	  1.411  -0.047   +0.047    
Kepler-107c 	 1.664    0.065 	  4.901441 (30) 	  1.142  -0.068   +0.068  	  1.411  -0.047   +0.047    
Kepler-107d 	 1.064    0.062 	  7.95825 (11) 		  1.142  -0.068   +0.068  	  1.411  -0.047   +0.047  	  
Kepler-107e 	 2.92    0.10 	     14.749176 (34) 	  1.142  -0.068   +0.068  	  1.411  -0.047   +0.047  	  
Kepler-108b 	 9.56    0.53 	     49.18354 (18) 	      1.377  -0.089   +0.089  	  2.19  -0.12   +0.12  		  
Kepler-108c 	 8.23    0.47     	  190.3214  (n/a)	  1.377  -0.089   +0.089  	  2.19  -0.12   +0.12  		  
Kepler-109b 	 2.338    0.034 	  6.4816370 (80) 	  1.069  -0.040   +0.040  	  1.339  -0.015   +0.017  		  
Kepler-109c 	 2.634    0.043 	  21.222620 (30) 	  1.069  -0.040   +0.040  	  1.339  -0.015   +0.017  		  
Kepler-126b 	 1.439    0.020 	  10.495634 (30) 	  1.148  -0.049   +0.051  	  1.345  -0.018   +0.015  	  
Kepler-126c 	 1.498    0.062 	  21.86964 (10) 	  1.148  -0.049   +0.051  	  1.345  -0.018   +0.015  	  
Kepler-126d 	 2.513    0.031 	  100.28208 (41) 	  1.148  -0.049   +0.051  	  1.345  -0.018   +0.015  	  
Kepler-127b 	 1.52    0.13     	  14.43577 (10) 	  1.240  -0.086   +0.086  	  1.359  -0.035   +0.035  	  
Kepler-127c 	 2.389    0.067 	  29.39344 (17) 	  1.240  -0.086   +0.086  	  1.359  -0.035   +0.035  	  
Kepler-127d 	 2.668    0.084 	  48.62997 (57) 	  1.240  -0.086   +0.086  	  1.359  -0.035   +0.035  	  
Kepler-129b 	 2.409    0.040 	  15.791619 (53) 	  1.159  -0.030   +0.030  	  1.649  -0.014   +0.012  		  
Kepler-129c 	 2.522    0.066 	  82.1908  (n/a)	  1.159  -0.030   +0.030  	  1.649  -0.014   +0.012  		  
Kepler-130b 	 0.976    0.045 	  8.45725 (11) 		  0.934  -0.059   +0.059  	  1.127  -0.033   +0.033  	  
Kepler-130c 	 2.811    0.084 	  27.508686 (37) 	  0.934  -0.059   +0.059  	  1.127  -0.033   +0.033  	  
Kepler-130d 	 1.31    0.13     	  87.5211 (24) 		  0.934  -0.059   +0.059  	  1.127  -0.033   +0.033  	  
Kepler-145b 	 2.56    0.28     	  22.95102 (23) 	  1.419  -0.030   +0.030  	  1.887  -0.014   +0.012  		  
Kepler-145c 	 3.92    0.11     	  42.88254 (15) 	  1.419  -0.030   +0.030  	  1.887  -0.014   +0.012  		  
Kepler-197b 	 1.064    0.038 	  5.599293 (39) 	  0.922  -0.059   +0.059  	  1.120  -0.033   +0.033  	  
Kepler-197c 	 1.208    0.048 	  10.349711 (54) 	  0.922  -0.059   +0.059  	  1.120  -0.033   +0.033  	  
Kepler-197d 	 1.244    0.049 	  15.67787 (13) 	  0.922  -0.059   +0.059  	  1.120  -0.033   +0.033  	  
Kepler-197e 	 0.983    0.048 	  25.2097 (14) 		  0.922  -0.059   +0.059  	  1.120  -0.033   +0.033  	  
Kepler-278b 	 4.59    0.26     	  30.15856 (91) 	  1.298  -0.076   +0.076  	  2.935  -0.066   +0.066  	  
